prefix
ab
abdomino
ac
acanth
acantho
acaro
accelero
acetabulo
aceto
acetyl
acido
acino
acoustico
acousto
acr
acro
acromio
actino
actuo
acu
ad
adelpho
adeno
adipo
adreno
aero
aesthesio
aetio
affecto
afore
afro
aft
after
again
agno
agri
agro
al
alco
aldo
algo
ali
all
allanto
allato
allelo
allergo
allo
alpha
altero
alumino
alveo
alveolo
amato
ambi
amelo
amido
amino
ammonio
amnio
ampelo
amphi
ampho
amygdalo
amylo
an
ana
analgo
anarcho
anatomico
anatomo
and
andro
anemo
angio
anglo
angulo
angusti
anhydro
aniso
ankylo
annulo
ano
ant
ante
antenno
anterio
antero
antho
anthra
anthraco
anthro
anthropo
anti
antiferro
antro
anxio
aortico
aorto
apeiro
api
apico
apo
appendico
aqua
ar
arabino
arachno
arc
arch
archae
archaeo
archeo
archi
arcto
areo
areolo
argento
aristo
arseno
arte
arterio
arteriolo
arthro
articulo
asco
asialo
asparto
astero
astheno
astragalo
astro
at
athero
atlanto
atlo
atrio
atropo
attico
atto
audio
auri
auriculo
auro
austro
aut
auto
auxo
avi
axillo
axio
axo
axono
az
aza
azido
azo
bacillo
back
bacterio
baculo
balano
ballisto
balneo
bario
baro
bary
baryo
baryto
basi
basidio
basio
baso
batho
bathy
be
bel
bentho
benz
benzo
bi
biblio
bilio
bin
bio
bis
bismuto
blasto
blepharo
bora
boreo
boro
brachio
brachy
bracteo
brady
branchio
brevi
brit
brom
bromo
bronchio
broncho
bronto
bryo
bucco
bulbo
butyro
by
caco
calcaneo
calcareo
calci
calcio
calco
calloso
calori
campylo
canalo
cancero
cantho
capito
capitulo
capno
capsulo
carb
carba
carbo
carboxy
carcino
cardio
cario
carotico
carpo
carto
caseo
cata
caudo
caulo
causto
cavo
ceco
cef
celiaco
cello
cemento
cen
centi
centralo
centri
centro
cephalo
cerato
cerebello
cerebro
cerio
cero
cervico
ch
chalco
chao
cheilo
cheiro
chemi
chemico
chemo
chimero
chion
chiro
chito
chlamydo
chlor
chloro
choano
cholangio
chole
cholecysto
choledocho
cholo
cholyl
chondro
chordo
chorio
choro
choroido
christo
chromato
chromo
chrono
chryso
chylo
cilio
cine
cingulo
circa
circum
cis
clado
clavi
cleido
climato
climo
clinico
clino
clitoro
clono
co
cobalto
cochleo
coelo
coen
coeno
coeruleo
coli
colliculo
colo
colono
colpo
com
con
condylo
conico
conjunctivo
cono
conservo
contacto
contra
contro
copro
cor
coraco
corneo
coronaro
corono
cortico
cosmo
costo
counter
countertextual
coxo
cranio
creno
cribro
crico
crio
croato
cross
cruro
cryo
crypto
crystallo
culturo
cumulo
cuneo
cupro
curvi
cutaneo
cyan
cyano
cyber
cyclo
cylindro
cyrto
cysto
cyto
dacryo
dactylo
dalt
de
deaza
deca
decentralise
deci
decidual
dehydro
deipno
deka
delto
demi
demo
dendrito
dendro
densito
dentalo
denti
dentino
dento
deorsum
deoxy
derm
derma
dermato
dermo
des
desmo
desoxy
deuter
deutero
deuto
dex
dextro
di
dia
diathermo
dichloro
dictyo
dideoxy
diencephalo
dieto
diffeo
digi
dihydro
dino
diphthero
diplo
dis
disco
distalo
disto
docosa
dodeca
dolicho
dorsi
dorso
down
ducto
duo
duodeca
duodeno
dynamo
dys
ec
echino
echo
eco
econo
ecto
ed
ego
eicosa
eigen
eka
elastico
elasto
electro
eleuthero
ellipto
em
embolo
embryo
en
enantio
encephalo
endo
endocrino
ene
enna
ennea
eno
ent
enter
entero
ento
entomo
entorhino
enviro
ephebo
epi
epididymo
epilepto
epithelio
epoxy
epta
equ
equi
equina
ergo
eroto
erythemato
erythro
es
esophago
estro
ethmo
ethno
etho
etio
eu
euro
eury
evapo
even
ever
ex
exa
exbi
excito
exo
externo
extero
extra
extro
fabello
facio
farado
fasciculo
fascio
fem
femoro
femto
fenno
ferri
ferro
ferto
feto
fibrino
fibro
fissi
fitz
flavo
flexi
flexo
fluo
fluor
fluoro
fluvio
foeto
folliculo
for
fore
formo
forth
fos
foveo
franken
frigo
fronto
fructo
fuco
ful
full
fumi
fungi
furano
gab
gain
galacto
galvano
galvo
gameto
gamo
ganglio
gastro
geniculo
genio
genito
geno
genu
geo
gephyro
germano
germo
gero
geronto
gibi
giga
giganto
gingivo
glacio
gleno
gli
glio
glomerulo
gloss
glosso
glotto
gluco
glucosyl
gluta
glutar
gluteo
glycero
glyco
glycosamino
gnatho
gon
gonado
gonio
gono
grammatico
grand
grano
granulo
grapho
gravi
gravito
gravo
gymno
gyne
gyneco
gyno
gyro
hadro
haem
haema
haemato
haemo
hagio
half
halo
haplo
haptico
hapto
hect
hecto
hectokilo
heli
helico
helio
hella
hem
hemato
hemi
hemo
hendeca
hepatico
hepato
hept
hepta
heptadeca
