suffix
a
abad
ability
able
ably
ac
aceous
acious
acy
ad
ade
adelic
adenia
adic
adol
aemia
age
aholic
aire
al
algia
alia
alis
ality
all
ally
amide
amine
amundo
an
ana
ance
ancy
and
ane
anine
ant
anth
ar
arabine
arch
archy
ard
arian
arium
aroo
arotene
ary
ase
ass
assed
ast
aster
astic
ate
ated
athlon
athon
atic
ation
ative
ato
ator
atory
azepam
azocine
azosin
bactam
bacter
bamate
bie
biont
biontic
blast
boration
borne
boro
borough
bot
bound
burg
burger
bury
buterol
by
caine
cardia
carp
cast
cc
ce
cele
centesis
centric
centrism
ception
ceptive
cha
chezia
chory
chrome
ciclovir
cidal
cide
cillin
cin
citabine
cle
clidine
cline
cock
colous
conazole
core
corn
coxib
cracy
craft
crat
cratic
crete
cross
cule
curonium
cy
cycline
cyte
d
dar
dilol
dom
drine
drome
ean
ebo
ectomy
ed
ee
een
eer
el
ella
elle
eme
emia
emic
emics
en
ence
enchyma
ency
end
ene
ennium
ense
ent
eous
er
ergia
ergic
eridine
erie
ern
eroo
ers
ery
es
esce
escence
escent
ese
esque
ess
est
estre
et
eth
ethidine
etic
ette
ety
eum
eus
euse
ever
ex
ey
facient
fag
fare
fast
fentanil
fer
ferous
fest
fiban
fication
floxacin
flurane
flux
fold
form
formin
fos
fosfamide
fosine
free
frine
front
ful
full
fungin
furter
fy
gamous
gamy
gasm
gate
geddon
gen
genesis
genic
genin
genous
gerous
giline
glitazone
goer
gon
gony
gram
graph
grapher
graphic
graphy
ham
happy
head
hedron
holic
holism
hood
ia
iad
ial
ian
iana
iasis
ibility
ible
ic
ica
ical
ician
icide
icism
icity
ick
ics
id
ide
idine
ie
ien
ier
ies
iferous
ific
ification
ified
iform
ifuge
ify
ile
illion
ily
imibe
in
ina
inda
ine
ing
ino
ion
ior
iot
ious
isation
ise
ish
ism
ismus
ist
ista
istan
istic
istics
itan
ite
itic
ition
itis
itive
itol
itude
ity
ium
ive
ization
ize
ized
izer
izzle
ji
k
kacin
kin
kind
kine
kinesis
kini
kins
lagnia
lalia
land
landia
latry
le
lect
less
let
licious
like
ling
lings
lins
lite
lith
lock
log
logical
logist
logue
logy
long
lukast
lutamide
ly
lyng
lysis
lytic
lyze
mageddon
man
mancy
mane
mania
maniac
mans
manship
mas
mate
meal
meister
men
ment
mer
mere
mestane
meter
metre
metric
metry
misia
mo
mobile
mont
more
morph
morphic
morphy
most
mustine
mycin
n
nap
naut
navir
ness
nesse
nicline
nidazole
nik
nomics
nym
o
oan
ock
ocracy
ocrat
ode
odynia
off
ography
oholic
oic
oid
oidea
ois
ol
ola
ole
ologist
ology
olone
oma
ome
ometer
ometry
omic
omics
on
one
onic
onium
onomics
onym
oon
opamine
opia
optene
or
orama
orex
orial
orium
orphine
orphone
ory
ose
oside
osis
osity
ostomy
otic
otomy
our
ous
over
oxacin
oxanide
oxifene
oyl
palladation
parous
partite
pathic
pathy
pause
penia
penic
peridol
perone
person
petal
pexy
phage
phagic
phagous
phagy
phile
philia
philiac
philic
phobe
phobia
phobic
phone
phonic
phony
phore
phorous
phrenia
phyte
phytic
piprazole
plasty
platin
plex
pocalypse
poiesis
poietic
polis
poly
pramine
prazole
prenaline
preneur
pride
pristin
proof
prostil
pudlian
punk
quine
radiation
rama
red
rel
relin
ren
ress
ribine
ric
ridden
rific
rinone
ritide
rix
rolimus
roo
rrhaphy
rubicin
ry
s
sal
sauce
saur
saurus
scape
scope
scopic
scopy
self
selves
setron
setter
sexual
ship
shire
sialia
sian
sicle
side
sie
sies
sion
sis
ski
sky
sol
some
somy
son
sona
speak
spermia
sphere
spirone
splain
sploitation
sporous
st
stan
stasis
stat
static
ster
sterone
stomy
t
tactic
tacular
tard
tarian
tastic
taxis
teen
tepine
teplase
ter
terol
th
thon
tic
tide
tidine
ties
tion
tirelin
tizolam
tome
tomy
ton
tous
traline
tress
trix
tron
tronics
troph
trophic
trophy
tropic
tropism
tude
ture
ty
type
ual
ula
ule
um
uous
uple
ure
uret
urgy
uria
uric
valent
vastatin
vegas
verine
verse
ville
vir
vore
vorous
wad
ward
wards
ware
wash
water
wave
ways
wear
wich
wick
wide
wise
woman
work
worth
worthy
y
yer
yl
yne
zilla
zoon
zza
