prefix
ab
abdomino
ac
aceto
acetyl
acido
acousto
acro
actino
ad
adeno
adipo
adreno
aero
afore
afro
after
agri
agro
al
alco
ali
allelo
allo
alpha
alumino
alveolo
ambi
amido
amino
ammonio
amnio
amphi
amylo
an
ana
anatomo
andro
angio
anhydro
aniso
ano
ant
ante
antero
antho
anthro
anthropo
anti
aorto
apico
apo
aqua
ar
arc
arch
archaeo
archeo
archi
arseno
arterio
arthro
astero
astragalo
astro
at
athero
atlanto
atrio
atropo
atto
audio
auriculo
auro
austro
auto
auxo
avi
axio
axo
aza
azido
azo
back
bacterio
ballisto
baro
basi
baso
batho
bathy
be
benz
benzo
bi
biblio
bilio
bin
bio
bis
bismuto
blasto
blepharo
boreo
boro
brachio
brachy
brady
brit
bromo
broncho
bucco
bulbo
by
caco
calcaneo
calci
calcio
capsulo
carb
carbo
carboxy
carcino
cardio
carpo
cata
caudo
centi
centri
centro
cephalo
cerebello
cerebro
cervico
ch
cheiro
chemi
chemico
chemo
chiro
chito
chlor
chloro
cholangio
chole
cholecysto
choledocho
chondro
chorio
chromo
chrono
chryso
chylo
cilio
cine
circum
cis
climato
clinico
clino
co
cochleo
coelo
colo
colpo
com
con
cono
contra
copro
coraco
corneo
cortico
cosmo
costo
counter
cranio
crico
cross
cryo
crypto
cupro
cyano
cyber
cyclo
cysto
cyto
dacryo
dactylo
de
deca
deci
dehydro
demi
demo
dendro
dento
deoxy
derma
dermato
dermo
des
desoxy
deutero
dex
dextro
di
dia
dichloro
dihydro
diplo
dis
disto
dodeca
dolicho
dorsi
dorso
down
duo
duodeca
duodeno
dys
echo
eco
econo
ecto
eigen
eka
elasto
electro
em
embryo
en
enantio
encephalo
endo
entero
ento
entomo
enviro
epi
epoxy
equi
ergo
erythro
esophago
ethmo
ethno
etio
eu
euro
eury
ever
ex
exa
excito
exo
extra
facio
fem
femoro
femto
ferri
ferro
feto
fibrino
fibro
fitz
flavo
flexo
fluo
fluor
fluoro
fluvio
for
fore
forth
fos
franken
fronto
fructo
fuco
full
gain
galacto
galvano
gameto
ganglio
gastro
geniculo
genito
geno
geo
gero
geronto
giga
gingivo
glacio
glio
glomerulo
glosso
glotto
gluco
glycero
glyco
gnatho
gonado
gonio
gono
grand
granulo
grapho
gravi
gravito
gyno
gyro
hadro
haemato
haemo
half
halo
haplo
hapto
hecto
heli
helio
hem
hemato
hemi
hemo
hepato
hept
hepta
hetero
hex
hexa
hexadeca
hiero
hind
histo
holo
homeo
homo
humero
hydr
hydro
hydroxy
hygro
hyo
hyper
hypno
hypo
hystero
iatro
ichno
ichthyo
ideo
idio
il
ileo
ilio
im
immuno
in
infero
info
infra
inguino
insta
inter
intra
inver
io
iodo
iono
ir
irido
ischio
islamo
iso
jejuno
juxta
ka
karyo
ker
kerato
keto
kilo
kineto
klepto
labio
lacto
laevo
laparo
laryngo
latero
lepto
leuco
leuko
lev
levo
lexico
lieno
ligno
limno
linguo
lipo
litho
logo
lumbo
lympho
lyo
lyso
macro
magnesio
magnet
magneto
mal
malaco
malto
mangano
manno
materno
matri
maxi
maxillo
mc
mechano
medico
medio
medullo
mega
megalo
meio
melano
meningo
mento
mer
mercapto
mero
mesio
meso
met
meta
metabo
metallo
meteoro
methoxy
methyl
metro
micro
mid
milli
mini
mis
mito
molybdo
mon
mono
morpho
muco
multi
musculo
musico
myco
myelo
myo
mytho
myxo
nano
naphtho
narco
naso
natro
necro
nega
nemato
neo
nephro
nether
neur
neuro
new
nitro
non
nona
nor
normo
noso
notho
noto
nucleo
nulli
nutri
ob
occipito
oct
octa
octo
oculo
odonto
off
oleo
oligo
omni
on
onco
onto
onycho
oo
ophthalmo
opistho
opto
orbito
organo
ornitho
oro
ortho
osmo
osseo
osteo
ot
oto
out
over
ovi
ovo
oxa
oxo
oxy
pachy
paedo
palaeo
palato
paleo
pallido
palyno
pan
pancreatico
pancreato
papulo
para
parieto
parvo
patho
patri
pauci
pedo
pene
pent
penta
pentadeca
peptido
per
perfluoro
peri
perma
peta
petro
phaco
phago
pharmaco
pharyngo
pheno
philo
phlebo
phono
phospho
photo
phragmo
phrenico
phyco
phyllo
phylo
physico
physio
phyto
pico
piezo
pilo
plagio
plano
platy
pleuro
plumbo
pluri
pneumo
podo
politico
poly
poro
porto
post
posterio
postero
pre
prepro
preter
pro
procto
proteo
proto
proximo
pseudo
psycho
psychro
ptero
pterygo
pubo
pyelo
pyo
pyro
quad
quadri
quasi
quin
quinque
race
radio
re
recto
regio
religio
reno
repro
reticulo
retino
retro
rhabdo
rhamno
rheo
rhino
rhizo
ribo
robo
rostro
roto
saccharo
sacro
sapro
sarco
scapho
scapulo
schizo
sclero
scoto
seleno
self
semi
semio
septi
septo
sero
servo
